what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1404353196664
os,sysinfo,,,"linux",1404353196666
arch,sysinfo,,,"x86_64",1404353196666
ws,sysinfo,,,"gtk",1404353196666
locale,sysinfo,,,"pt_BR",1404353196666
processors,sysinfo,,,"4",1404353196666
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1404353196666
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1404353196666
java.specification.name,sysinfo,,,"Java Platform API Specification",1404353196666
java.specification.vendor,sysinfo,,,"Oracle Corporation",1404353196666
java.specification.version,sysinfo,,,"1.7",1404353196666
java.vendor,sysinfo,,,"Oracle Corporation",1404353196666
java.version,sysinfo,,,"1.7.0_55",1404353196666
java.vm.info,sysinfo,,,"mixed mode",1404353196666
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1404353196666
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1404353196666
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1404353196666
java.vm.specification.version,sysinfo,,,"1.7",1404353196666
java.vm.vendor,sysinfo,,,"Oracle Corporation",1404353196666
java.vm.version,sysinfo,,,"24.51-b03",1404353196666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353224196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353228231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353230186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353239586
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1404353241739
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1404353241763
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1404353242777
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1404353244132
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1404353244168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353253673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353258799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353260126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1404353271774
